architecture,lambda_reg,seed,initial_classifier_pr,halfway_threshold,halfway_epoch,log_epoch_auc,final_classifier_pr,final_test_accuracy
mlp,0.01,2,15.631976756989298,8.815988378494648,410.0,2.6488638427193205,1.9988166210072935,1.0
mlp,0.01,3,15.47464309176356,8.73732154588178,370.0,2.60166804690465,1.9999829054244216,1.0
mlp,0.01,4,14.471663647589422,8.235831823794712,310.0,2.4598287857955725,1.9985785227038988,1.0
mlp,0.01,5,15.497501111623029,8.748750555811515,400.0,2.643506890591062,1.9990009946420413,1.0
mlp,0.1,1,15.591009277144462,8.79550463857223,290.0,2.447486563156701,1.9976705796002137,1.0
mlp,0.1,2,15.628632848600194,8.814316424300097,270.0,2.375431467926485,1.998736467287592,1.0
mlp,0.1,3,15.467606699234102,8.733803349617052,260.0,2.348896169824392,1.9999694236208825,1.0
mlp,0.1,4,14.459944026354556,8.229972013177278,210.0,2.18589183814732,1.9970338566614376,1.0
mlp,0.1,5,15.476641078515302,8.73832053925765,260.0,2.3023990137927988,1.9991240097130452,1.0
mlp,0.5,1,15.583318870074768,8.791659435037385,160.0,2.1344340673631774,1.9988496870977368,1.0
mlp,0.5,2,15.615434443542965,8.807717221771483,110.0,2.0115768109552863,1.997350263322956,1.0
mlp,0.5,3,15.45593409035598,8.72796704517799,130.0,2.040845821898278,1.999794152708141,1.0
mlp,0.5,4,14.459888903888023,8.22994445194401,95.0,1.9648955552603997,1.993637547038105,1.0
mlp,0.5,5,15.46747489060686,8.73373744530343,90.0,1.932815915405187,1.9994034934898728,1.0
mlp,0.7,1,15.581482700988122,8.790741350494061,130.0,2.0683883026916616,1.9994943145228945,1.0
mlp,0.7,2,15.612919937794278,8.806459968897139,95.0,1.962123941923821,1.9980159775067663,1.0
mlp,0.7,3,15.454654589679532,8.727327294839766,110.0,1.9922427515011796,1.9998761616848173,1.0
mlp,0.7,4,14.459872342685888,8.229936171342944,90.0,1.9351949023682502,1.9955217108309704,1.0
mlp,0.7,5,15.467018950888695,8.733509475444347,80.0,1.8974666297371623,1.999143772280657,1.0
mlp,1.0,1,15.579541574097949,8.789770787048974,120.0,2.014472223919481,1.999183238369777,1.0
mlp,1.0,2,15.610821125295557,8.80541056264778,90.0,1.92389306282231,1.9978639626252224,1.0
mlp,1.0,3,15.453806026369811,8.726903013184906,95.0,1.9508321740948935,1.99993717164493,1.0
mlp,1.0,4,14.459856116865694,8.229928058432847,85.0,1.910327669723701,1.9969631527377287,1.0
mlp,1.0,5,15.46680531283612,8.733402656418061,80.0,1.8708425308553862,1.99896500473037,1.0
mlp,1.5,1,15.576780749272976,8.788390374636489,100.0,1.9692625574915337,1.998625571532005,1.0
mlp,1.5,2,15.609791316532176,8.804895658266087,85.0,1.8942145672962065,1.9988443840285608,1.0
mlp,1.5,3,15.45406380150144,8.72703190075072,90.0,1.9165556339288008,1.999682619528449,1.0
mlp,1.5,4,14.459851422174063,8.22992571108703,85.0,1.8887301458638794,1.9955711644351684,1.0
